Rok,?esk· republika,Po?sko,Ma?arsko,Rak˙sko,Ukrajina,SusednÈ krajiny spolu (V4+Ukrajina),Belgicko,Bielorusko,Bulharsko,Cyprus,D·nsko,EstÛnsko,FÌnsko,Franc˙zsko,GrÈcko,Holandsko,Chorv·tsko,Õçrsko,Litva,Lotyösko,Luxemburgsko,Malta ,Nemecko,NÛrsko,Portugalsko,Rumunsko,Rusk· feder·cia,Slovinsko,äpanielsko,ävaj?çiarsko,ävÈdsko,Taliansko,Ve?k· Brit·nia,OstanÈ eurÛpske öt·ty,E⁄,EurÛpa,Kanada,USA,OstatnÈ americkÈ öt·ty,Amerika,AFRIKA,?Ìna,India,Izrael,Japonsko,J. KÛrea,Turecko,OstatnÈ ·zijskÈ öt·ty,¡zia,Austr·lia a oce·nia,NeöpecifikovanÌ,Zahrani?nÌ n·vötevnÌci,Dom·ci n·vötevnÌci
1998,244 454,132 047,49 423,31 832,37 725,495 481,6 987,-,5 515,-,5 017,-,2 344,14 633,1 672,15 911,8 246,-,-,-,-,-,141 373,1 762,-,5 490,27 313,4 205,2 402,6 882,4 334,24 968,18 557,32 416,270 030,825 508,3 138,23 736,3 332,30 206,3 039,-,-,13 256,8 645,-,681,11 875,34 457,2 381,509,896 100,1 762 619
1999,275 031,173 135,53 057,32 643,31 732,565 598,8 735,2 318,5 306,238,5 570,1 027,2 797,14 833,1 732,16 540,7 989,365,6 399,1 173,112,70,137 964,2 618,-,7 238,22 361,5 542,2 976,9 789,4 622,27 076,18 049,24 738,274 014,903 775,3 505,23 310,3 868,30 683,2 844,606,425,12 841,9 169,147,1 008,10 790,34 986,2 730,87,975 105,1 823 321
2000,277 401,201 082,59 322,36 779,24 212,598 796,8 443,3 800,3 147,247,5 260,1 308,2 795,16 015,1 691,18 772,8 311,788,7 392,912,106,29,155 129,2 530,-,6 548,30 861,5 650,3 568,7 320,5 603,28 097,19 092,25 358,302 138,967 568,3 623,28 851,3 347,35 821,2 908,537,1 117,10 879,9 775,435,1 556,12 481,36 780,2 436,7 187,1 052 700,1 741 000
2001,327 607,264 631,73 937,44 046,18 863,729 084,11 123,1 437,3 718,627,6 475,2 978,4 329,19 523,2 200,22 068,8 981,1 085,10 224,1 906,114,49,172 446,2 713,622,8 943,19 876,7 286,4 985,9 252,6 722,32 737,21 634,23 778,350 109,1 136 915,4 738,28 183,3 001,35 922,3 465,550,1 515,9 123,8 878,563,1 305,16 595,38 529,4 130,138,1 219 099,1 941 649
2002,447 962,266 911,88 268,47 072,19 541,869 754,11 338,1 578,3 464,506,9 390,3 034,7 467,21 890,1 906,23 945,9 489,1 847,9 452,2 913,254,187,188 733,3 213,981,5 123,20 313,9 351,5 463,12 205,6 977,34 998,28 092,24 441,390 353,1 318 304,4 958,25 382,3 012,33 352,3 184,780,1 437,6 563,9 153,536,1 119,18 890,38 478,5 277,145,1 398 740,2 047 702
2003,469 991,215 383,100 546,51 365,19 685,856 970,10 626,1 985,3 235,452,7 946,2 979,8 017,28 629,2 163,24 487,11 499,2 059,9 789,3 528,217,107,175 746,3 301,894,5 776,22 681,10 404,5 464,10 547,6 646,37 996,26 062,26 084,388 317,1 306 289,5 542,25 383,3 056,33 981,2 822,684,1 305,7 988,7 278,1 171,1 391,15 987,35 804,7 590,305,1 386 791,1 986 749
2004,419 273,179 078,111 065,55 609,18 235,783 260,12 844,1 796,3 369,816,7 844,2 431,13 497,37 006,2 638,27 114,11 525,3 331,11 366,3 971,284,527,188 067,3 762,1 268,6 692,18 074,12 055,9 022,12 586,8 871,50 201,34 349,30 070,1 192 527,1 298 636,6 082,28 665,3 965,38 712,2 796,801,384,16 225,10 648,5 202,1 028,19 893,54 181,6 521,343,1 401 189,1 843 296
2005,424 900,198 479,121 615,55 630,22 033,822 657,13 745,1 947,3 301,1 051,8 911,3 308,12 560,42 668,3 178,28 838,15 016,3 738,14 477,5 736,380,237,194 158,5 092,2 330,7 972,19 779,12 245,9 665,12 167,9 327,59 344,51 720,36 317,1 278 240,1 401 864,5 358,32 593,4 149,42 100,2 580,1 447,603,8 225,14 321,11 981,1 488,23 863,61 928,5 431,1 077,1 514 980,1 913 103
2006,455 381,224 159,121 981,60 560,30 785,892 866,14 848,3 030,5 051,1 188,12 154,3 012,11 369,41 095,3 381,26 238,15 375,5 575,16 264,5 562,506,336,190 422,5 678,1 722,11 344,19 509,12 388,11 429,10 527,8 550,60 971,63 137,34 430,1 352 228,1 487 957,5 579,29 569,3 970,39 118,2 998,2 177,443,8 105,15 878,23 057,2 144,21 687,73 491,7 491,753,1 611 808,1 972 071
2007,490 986,243 917,93 797,62 661,34 612,925 973,16 260,3 610,5 924,1 073,14 788,5 863,10 606,41 301,4 708,27 621,20 839,10 423,24 070,9 955,649,336,176 059,5 184,2 932,16 172,22 730,12 641,14 166,11 977,10 923,58 184,63 193,27 344,1 419 208,1 545 504,5 977,31 977,5 743,43 697,5 868,4 286,1 229,10 502,13 496,30 821,2 882,17 887,81 103,7 168,1 186,1 684 526,2 093 000
